Maison à vendre,990 000 €3 246 €/m²,12,8,4 000  de terrain,,"La Millière, Marseille 11ème (13011)","Anna PONS vous propose (Plus de photos sont disponibles sur mon site) Environnement : Située à Marseille, cette propriété se niche au cœur d'un vaste terrain arboré de 4000 m². Dès l'ouverture du por...",BREVET Brigitte   Capifrance
Maison à vendre,990 000 €3 246 €/m²,12,8,4 000  de terrain,,"La Millière, Marseille 11ème (13011)","Anna PONS vous propose (Plus de photos sont disponibles sur mon site) Environnement : Située à Marseille, cette propriété se niche au cœur d'un vaste terrain arboré de 4000 m². Dès l'ouverture du por...",BREVET Brigitte   Capifrance
Maison à vendre,1 700 000 €4 857 €/m²,12,6,1 100  de terrain,,"Saint Julien, Marseille 12ème (13012)","L'agence Human Immobilier vous présente une maison exceptionnelle au coeur de Saint-Julien, dans un secteur recherché et particulièrement calme. D'une surface d'environ 400 m², elle offre des volumes...",HUMAN IMMOBILIER MARSEILLE
Maison à vendre,1 700 000 €4 857 €/m²,12,6,1 100  de terrain,,"Saint Julien, Marseille 12ème (13012)","L'agence Human Immobilier vous présente une maison exceptionnelle au coeur de Saint-Julien, dans un secteur recherché et particulièrement calme. D'une surface d'environ 400 m², elle offre des volumes...",HUMAN IMMOBILIER MARSEILLE
Maison à vendre,995 000 €3 339 €/m²,12,5,400  de terrain,,"La Capelette, Marseille 10ème (13010)","Un ensemble immobilier polyvalent au cœur du secteur de la Timone, à quelques minutes du métro et des axes autoroutiers. Une maison principale composée de quatres chambres, d'une pièce de vie de 48m²...",MAT & SEB IMMOBILIER
Maison à vendre,995 000 €3 339 €/m²,12,5,400  de terrain,,"La Capelette, Marseille 10ème (13010)","Un ensemble immobilier polyvalent au cœur du secteur de la Timone, à quelques minutes du métro et des axes autoroutiers. Une maison principale composée de quatres chambres, d'une pièce de vie de 48m²...",MAT & SEB IMMOBILIER
Maison à vendre,379 000 €4 738 €/m²,3,2,280  de terrain,,"Le Charrel-Camp Major-Saint Mître, Aubagne (13400)","EXCLUSIVITE LES CREISSAUDS-LA PERUSSONNE. Dans une jolie maison en rdc, se trouve ce joli T3/4 très lumineux de plus 80m2. Passez le portail et un bel espace de stationnement pour plusieurs voitures ...",PROJET IMMO GESTION
Appartement à vendre,699 000 €3 066 €/m²,12,,228,3/5,"Palais de Justice, Marseille 6ème (13006)",Era Immobilier Marseille Centre vous propose d'acheter un vaste appartement idéalement situés dans le 6°arrondissement de Marseille quartier Palais de Justice dans un bel immeuble Haussmannien très b...,ERA IMMOBILIER - AGENCE B.I
Appartement à vendre,699 000 €3 066 €/m²,12,,228,3/5,"Palais de Justice, Marseille 6ème (13006)",Era Immobilier Marseille Centre vous propose d'acheter un vaste appartement idéalement situés dans le 6°arrondissement de Marseille quartier Palais de Justice dans un bel immeuble Haussmannien très b...,ERA IMMOBILIER - AGENCE B.I
Maison à vendre,535 000 €1 507 €/m²,12,6,380  de terrain,,"Bon secours, Marseille (13014)","Votre agence ERA IMMO DU PARC vous propose cet immeuble de 12 pièces réparti sur 3 niveaux offre un cadre de vie spacieux et un excellent potentiel locatif. Situé sur une parcelle de 380 m², ce bien ...",
Maison à vendre,535 000 €1 507 €/m²,12,6,380  de terrain,,"Bon secours, Marseille (13014)","Votre agence ERA IMMO DU PARC vous propose cet immeuble de 12 pièces réparti sur 3 niveaux offre un cadre de vie spacieux et un excellent potentiel locatif. Situé sur une parcelle de 380 m², ce bien ...",
Demeure à vendre,de 3M à 10M €,12,5,2 400  de terrain,,"Bompard, Marseille 7ème (13007)","Collection Privée Daniel FEAU – en exclusivité, maison de maître fin XIXème à la vue exceptionnelle et emplacement de premier ordre. Unique. Diverses possibilités d'exploitation. Dossier complet sur ...",Daniel Feau Marseille & Littoral
Demeure à vendre,de 3M à 10M €,12,5,2 400  de terrain,,"Bompard, Marseille 7ème (13007)","Collection Privée Daniel FEAU – en exclusivité, maison de maître fin XIXème à la vue exceptionnelle et emplacement de premier ordre. Unique. Diverses possibilités d'exploitation. Dossier complet sur ...",Daniel Feau Marseille & Littoral
Villa à vendre,1 380 000 €4 600 €/m²,11,5,1 688  de terrain,,"Sormiou, Marseille 9ème (13009)","Bâtie au coeur d’un ilot de verdure plat de 1688m2, entre les villages de Bonneveine et de Sormiou, cette maison bourgeoise familiale aux volumes très bien pensés a été conçue en 1930 puis dotée de p...",HOME SWEET HOME
