type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre - neuf,285 000 €4 453 €/m²,3,,64,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre - neuf,407 000 €4 733 €/m²,4,,86,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre - neuf,407 000 €4 733 €/m²,4,,86,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre - neuf,393 000 €3 970 €/m²,5,,99,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre - neuf,393 000 €3 970 €/m²,5,,99,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre,240 000 €3 243 €/m²,3,2,74,2/2,"Hôpital, Nimes (30900)","Situé à proximité immédiate du CHU de Nîmes et des espaces naturels de la garrigue, cet appartement de 74 m² niché au dernier étage d'une résidence sécurisée avec ascenseur et garage offre un cadre d...",ESPACES ATYPIQUES Nîmes
Appartement à vendre,240 000 €3 243 €/m²,3,2,74,2/2,"Hôpital, Nimes (30900)","Situé à proximité immédiate du CHU de Nîmes et des espaces naturels de la garrigue, cet appartement de 74 m² niché au dernier étage d'une résidence sécurisée avec ascenseur et garage offre un cadre d...",ESPACES ATYPIQUES Nîmes
Maison à vendre - neuf,264 900 €3 784 €/m²,3,2,70,,"André Malraux, Nîmes (30000)","Votre nouveau chez-vous entre confort, lumière et tranquillité À seulement 10 minutes du centre-ville de Nîmes, découvrez une adresse rare ! Novanéa vous propose des logements T3 et T4, dont certains...",NOVANEA
Maison à vendre - neuf,264 900 €3 784 €/m²,3,2,70,,"André Malraux, Nîmes (30000)","Votre nouveau chez-vous entre confort, lumière et tranquillité À seulement 10 minutes du centre-ville de Nîmes, découvrez une adresse rare ! Novanéa vous propose des logements T3 et T4, dont certains...",NOVANEA
Appartement à vendre - neuf,210 000 €3 621 €/m²,3,,58,,"Capouchiné, Nîmes (30000)","Investissez à Nîmes, la Rome française ! Vous recherchez un placement immobilier sûr et rentable dans une ville pleine de charme et de dynamisme ??Novanéa vous ouvre les portes de Nîmes, capitale rom...",NOVANEA
Appartement à vendre - neuf,210 000 €3 621 €/m²,3,,58,,"Capouchiné, Nîmes (30000)","Investissez à Nîmes, la Rome française ! Vous recherchez un placement immobilier sûr et rentable dans une ville pleine de charme et de dynamisme ??Novanéa vous ouvre les portes de Nîmes, capitale rom...",NOVANEA
Appartement à vendre - neuf,247 075 €3 985 €/m²,3,,62,,"La Gazelle, Nîmes (30000)","Découvrez Nîmes et son climat méditerranéen ! Notre nouvelle résidence à Nîmes vous accueille dans un quartier verdoyant et dynamique, avec son architecture moderne et élégante, ses trois étages au c...",NOVANEA
Appartement à vendre - neuf,247 075 €3 985 €/m²,3,,62,,"La Gazelle, Nîmes (30000)","Découvrez Nîmes et son climat méditerranéen ! Notre nouvelle résidence à Nîmes vous accueille dans un quartier verdoyant et dynamique, avec son architecture moderne et élégante, ses trois étages au c...",NOVANEA
Appartement à vendre,265 000 €3 442 €/m²,3,2,77,1/3,Nimes (30000),"NIMES centre Historique , dans une des plus jolies rues du quartier de l'Ecusson, beau P3 de charme, 77 m², au 1er étage d' un immeuble de caractère. Ce bien que vous propose Corinne Ponce Immobilier...",CORINNE PONCE IMMOBILIER
Appartement à vendre,265 000 €3 442 €/m²,3,2,77,1/3,Nimes (30000),"NIMES centre Historique , dans une des plus jolies rues du quartier de l'Ecusson, beau P3 de charme, 77 m², au 1er étage d' un immeuble de caractère. Ce bien que vous propose Corinne Ponce Immobilier...",CORINNE PONCE IMMOBILIER
Appartement à vendre - neuf,300 000 €4 545 €/m²,3,2,66,,"Camplanier, Nîmes (30900)","Résidence principale ou investissement ?? Nîmes sera l'endroit parfait pour vous ! Des appartements T2 ou T3 conviviaux vous charmeront avec leurs spacieuses pièces de vie, leurs séjours lumineux, le...",NOVANEA
Appartement à vendre - neuf,288 000 €3 310 €/m²,4,,87,,"Capouchiné, Nîmes (30000)","Investissez à Nîmes, la Rome française ! Vous recherchez un placement immobilier sûr et rentable dans une ville pleine de charme et de dynamisme ??Novanéa vous ouvre les portes de Nîmes, capitale rom...",NOVANEA
