prix,surface,pieces,adresse,type_bien,departement_nom,departement_code
190 000,"62,8",3.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
189 000,46,2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
189 000,46,2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
183 000,38,2.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
183 000,38,2.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
167 000,"38,3",2.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
167 000,"38,3",2.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
165 900,"40,7",2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
165 900,"40,7",2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
155 000,40,2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
155 000,40,2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
141 000,"43,9",2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
141 000,"43,9",2.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
119 383,"20,1",1.0,"Centre, Brest (29200)",Appartement,Finistère,29
119 383,"20,1",1.0,"Centre, Brest (29200)",Appartement,Finistère,29
982 000,196,4.0,Nimes (30900),Appartement,Gard,30
982 000,196,4.0,Nimes (30900),Appartement,Gard,30
96 500,72,4.0,"Beaucaire, Nîmes (30000)",Appartement,Gard,30
96 500,72,4.0,"Beaucaire, Nîmes (30000)",Appartement,Gard,30
550 000,1 050  de terrain,5.0,Nimes (30000),Maison,Gard,30
550 000,1 050  de terrain,5.0,Nimes (30000),Maison,Gard,30
495 000,88,4.0,"André Malraux, Nîmes (30000)",Appartement,Gard,30
495 000,88,4.0,"André Malraux, Nîmes (30000)",Appartement,Gard,30
407 000,86,4.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
407 000,86,4.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
398 000,140,4.0,Nimes (30000),Appartement,Gard,30
398 000,140,4.0,Nimes (30000),Appartement,Gard,30
393 000,99,5.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
393 000,99,5.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
390 000,330  de terrain,7.0,Nimes (30000),Maison,Gard,30
390 000,330  de terrain,7.0,Nimes (30000),Maison,Gard,30
345 000,83,3.0,Nimes (30000),Appartement,Gard,30
345 000,83,3.0,Nimes (30000),Appartement,Gard,30
300 000,66,3.0,"Camplanier, Nîmes (30900)",Appartement,Gard,30
288 000,87,4.0,"Capouchiné, Nîmes (30000)",Appartement,Gard,30
288 000,87,4.0,"Capouchiné, Nîmes (30000)",Appartement,Gard,30
285 000,64,3.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
285 000,64,3.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
273 000,90,4.0,"Arènes, Nimes (30000)",Appartement,Gard,30
265 000,77,3.0,Nimes (30000),Appartement,Gard,30
265 000,77,3.0,Nimes (30000),Appartement,Gard,30
264 900,70,3.0,"André Malraux, Nîmes (30000)",Maison,Gard,30
264 900,70,3.0,"André Malraux, Nîmes (30000)",Maison,Gard,30
250 000,300  de terrain,5.0,Nîmes (30000),Terrain,Gard,30
250 000,300  de terrain,5.0,Nîmes (30000),Terrain,Gard,30
249 500,54,3.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
249 500,54,3.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
247 075,62,3.0,"La Gazelle, Nîmes (30000)",Appartement,Gard,30
247 075,62,3.0,"La Gazelle, Nîmes (30000)",Appartement,Gard,30
240 000,74,3.0,"Hôpital, Nimes (30900)",Appartement,Gard,30
240 000,74,3.0,"Hôpital, Nimes (30900)",Appartement,Gard,30
235 000,46,2.0,"Camplanier, Nîmes (30900)",Appartement,Gard,30
213 895,41,2.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
213 895,41,2.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
210 000,47,2.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
210 000,47,2.0,"Beausoleil, Nîmes (30900)",Appartement,Gard,30
210 000,58,3.0,"Capouchiné, Nîmes (30000)",Appartement,Gard,30
210 000,58,3.0,"Capouchiné, Nîmes (30000)",Appartement,Gard,30
199 900,"45,1",2.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
199 900,"45,1",2.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
169 990,"62,5",3.0,"Courbessac, Nîmes (30000)",Appartement,Gard,30
169 990,"62,5",3.0,"Courbessac, Nîmes (30000)",Appartement,Gard,30
144 990,"45,9",2.0,"Courbessac, Nîmes (30000)",Appartement,Gard,30
144 990,"45,9",2.0,"Courbessac, Nîmes (30000)",Appartement,Gard,30
129 900,28,1.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
129 900,28,1.0,"Beausoleil, Nîmes (30000)",Appartement,Gard,30
110 000,36,1.0,"Esplanade, Nîmes (30000)",Appartement,Gard,30
110 000,36,1.0,"Esplanade, Nîmes (30000)",Appartement,Gard,30
970 000,"178,1",8.0,"Jolimont-Soupetard-Bonhoure, Toulouse (31000)",Maison,Haute-Garonne,31
879 000,78,4.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
879 000,78,4.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
879 000,78,4.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
879 000,78,4.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
850 000,122,4.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
850 000,122,4.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
850 000,122,4.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
850 000,122,4.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
81 750,"21,7",1.0,Toulouse (31100),Appartement,Haute-Garonne,31
81 750,"21,7",1.0,Toulouse (31100),Appartement,Haute-Garonne,31
797 000,160,5.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
797 000,160,5.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
797 000,160,5.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
797 000,160,5.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
795 000,"147,6",3.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
795 000,"147,6",3.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
795 000,"147,6",3.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
795 000,"147,6",3.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
690 000,160,5.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
690 000,160,5.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
690 000,160,5.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
690 000,160,5.0,"Capitole, Toulouse (31000)",Appartement,Haute-Garonne,31
648 000,"136,1",5.0,"Côte Pavée-L Hers-La Terrasse, Toulouse (31000)",Maison,Haute-Garonne,31
648 000,"136,1",5.0,"Côte Pavée-L Hers-La Terrasse, Toulouse (31000)",Maison,Haute-Garonne,31
648 000,"136,1",5.0,"Côte Pavée-L Hers-La Terrasse, Toulouse (31000)",Maison,Haute-Garonne,31
648 000,"136,1",5.0,"Côte Pavée-L Hers-La Terrasse, Toulouse (31000)",Maison,Haute-Garonne,31
499 000,60,3.0,"Les Chalets-Saint Aubin-Saint Etienne, Toulouse (31000)",Appartement,Haute-Garonne,31
