latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
47.2232246,-1.5532911,325000,89.0,4.0,Appartement,44000,44,Nantes
47.2463783,-1.5387866,300900,80.1,4.0,Appartement,44300,44,Nantes
47.2463783,-1.5387866,265000,80.0,3.0,Appartement,44300,44,Nantes
47.1953218,-1.5425223,264500,75.0,4.0,Appartement,44200,44,Nantes
47.2232246,-1.5532911,255000,43.0,2.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,240000,62.0,3.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,239000,66.0,3.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,235000,34.0,1.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,1399000,138.0,5.0,Appartement,44000,44,Nantes
47.1953218,-1.5425223,195810,61.0,3.0,Appartement,44200,44,Nantes
47.2232246,-1.5532911,189000,50.0,3.0,Appartement,44000,44,Nantes
47.1953218,-1.5425223,189000,68.0,3.0,Appartement,44200,44,Nantes
47.2463783,-1.5387866,181700,36.7,2.0,Appartement,44300,44,Nantes
47.2232246,-1.5532911,180000,26.0,2.0,Appartement,44000,44,Nantes
47.1953218,-1.5425223,164000,40.0,2.0,Appartement,44200,44,Nantes
47.2232246,-1.5532911,144000,19.0,1.0,Appartement,44000,44,Nantes
47.1953218,-1.5425223,144000,49.0,2.0,Appartement,44200,44,Nantes
47.2232246,-1.5532911,142000,18.0,1.0,Appartement,44000,44,Nantes
47.2115796,-1.588977,139500,89.0,4.0,Appartement,44100,44,Nantes
47.2463783,-1.5387866,100000,29.0,1.0,Appartement,44300,44,Nantes
47.4631294,-0.5408982,675000,75.0,3.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,474000,115.0,5.0,Maison,49000,49,Angers
47.4631294,-0.5408982,447000,108.0,5.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,428000,95.0,4.0,Maison,49000,49,Angers
47.4943373,-0.5508614,370000,88.0,4.0,Appartement,49100,49,Angers
47.4631294,-0.5408982,310000,58.0,3.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,309000,65.7,3.0,Appartement,49000,49,Angers
47.4943373,-0.5508614,289000,81.0,4.0,Appartement,49100,49,Angers
47.4943373,-0.5508614,265000,65.0,3.0,Appartement,49100,49,Angers
47.4631294,-0.5408982,262000,57.9,3.0,Appartement,49000,49,Angers
47.4943373,-0.5508614,261800,84.0,4.0,Appartement,49100,49,Angers
47.4631294,-0.5408982,240000,53.7,3.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,225000,40.0,2.0,Appartement,49000,49,Angers
47.4631294,-0.5408982,224000,45.2,2.0,Appartement,49000,49,Angers
47.4943373,-0.5508614,215000,61.6,3.0,Appartement,49100,49,Angers
